date,year,district,address,race,sex,age,category,weapon
01/14/2001,2001,25,"3413 Germantown Ave., Philadelphia, PA",B,M,34,shooting,Firearm
01/14/2001,2001,12,"53rd Woodland Ave., Philadelphia, PA",B,M,35,shooting,Firearm
01/15/2001,2001,01,"19th & Dudley Sts., Philadelphia, PA",B,M,21,shooting,Firearm
01/15/2001,2001,26,"8th & Jefferson Sts., Philadelphia, PA",B,M,17,shooting,Firearm
01/16/2001,2001,08,"2840 Michael Rd., Philadelphia, PA",W,M,37,shooting,Firearm
01/16/2001,2001,18,"59th & Spruce Sts., Philadelphia, PA",B,M,16,shooting,Firearm
01/16/2001,2001,09,"559 N. 16th St., Philadelphia, PA",B,M,33,shooting,Firearm
01/16/2001,2001,26,"2202 E. Cumberland St., Philadelphia, PA",B,M,12,shooting,Firearm
01/16/2001,2001,24,"2858 N. Lee St., Philadelphia, PA",W,M,46,shooting,Firearm
01/17/2001,2001,14,"5572 Blakemore St., Philadelphia, PA",B,M,21,shooting,Firearm
01/17/2001,2001,35,"7033 Forrest Ave., Philadelphia, PA",B,M,18,shooting,Firearm
01/18/2001,2001,17,"1341 S. 22nd St., Philadelphia, PA",B,M,21,shooting,Firearm
01/18/2001,2001,17,"2200 Washington Ave., Philadelphia, PA",B,M,27,shooting,Firearm
01/18/2001,2001,17,"2200 Washington Ave., Philadelphia, PA",B,M,27,shooting,Firearm
01/18/2001,2001,25,"Cambria & Waters Sts., Philadelphia, PA",W,M,36,shooting,Firearm
01/18/2001,2001,16,"3900 Lancaster Ave., Philadelphia, PA",B,M,30,shooting,Firearm
01/18/2001,2001,23,"15th & Thompson Sts., Philadelphia, PA",B,M,19,shooting,Firearm
01/18/2001,2001,12,"2501 S. 70th St., Philadelphia, PA",B,M,38,shooting,Firearm
01/19/2001,2001,05,"384 Shurs La., Philadelphia, PA",W,M,48,shooting,Firearm
01/19/2001,2001,25,"3825 N. 10th St., Philadelphia, PA",B,M,32,shooting,Firearm
01/20/2001,2001,25,"100 W. Clearfield St., Philadelphia, PA",W,M,46,shooting,Firearm
01/20/2001,2001,25,"9th & Hunting Park Ave., Philadelphia, PA",W,M,22,shooting,Firearm
01/20/2001,2001,26,"700 Master St., Philadelphia, PA",W,M,42,shooting,Firearm
01/20/2001,2001,19,"34 N. Lindenwood St., Philadelphia, PA",B,F,40,shooting,Firearm
01/20/2001,2001,26,"500 W. York St., Philadelphia, PA",B,M,18,shooting,Firearm
