DATE,YEAR,DIST,LOCATION,R,S,L,AGE
12/22/2002,2002,25,4738 Tampa St.,W,F,N,19
12/23/2002,2002,12,1200 S. 55th St.,B,M,N,18
12/23/2002,2002,12,5642 Windsor Ave.,B,M,N,45
12/23/2002,2002,15,Bustleton&Roos.Blvd.,B,M,N,30
12/23/2002,2002,22,21st & Berks Sts.,B,M,N,53
12/23/2002,2002,19,1228 N. 60th St.,B,M,N,17
12/23/2002,2002,22,2500 N. Corlies St.,B,M,N,23
12/24/2002,2002,14,8010 Fayette St.   I,B,M,N,39
12/24/2002,2002,16,4900 Hoopes St.,B,M,N,55
12/24/2002,2002,12,5402 Bartram Dr.,B,M,N,27
12/24/2002,2002,04,502 Mountain St.,B,M,N,19
12/24/2002,2002,19,59th & Arrington Sts.,B,M,N,21
12/24/2002,2002,18,5316 Cedar Ave.   I,B,M,N,41
12/24/2002,2002,01,1800 S. 20th St.,B,M,N,18
12/24/2002,2002,06,1000 Brown St.,B,M,N,23
12/24/2002,2002,04,602 Oregon Ave.,W,M,N,19
12/25/2002,2002,35,12th & Olney Ave.,B,M,N,16
12/25/2002,2002,19,322 N. 52nd St.,B,M,N,27
12/25/2002,2002,14,Rubicam & Wister Sts,B,M,N,20
12/26/2002,2002,12,5700 Malcolm St.,B,M,N,44
12/26/2002,2002,12,5726 Baltimore Ave.,B,M,N,26
12/26/2002,2002,02,6226 Trotter St.,W,F,N,26
12/26/2002,2002,18,6248 Walton St.   I,B,M,N,45
12/27/2002,2002,92,Kelly & Strawberry,B,M,N,36
12/27/2002,2002,19,6400 Race St.,B,F,N,26
12/27/2002,2002,12,5603 Whitby St.,B,M,N,30
12/28/2002,2002,35,4800 N. 7th St.,B,M,N,19
12/28/2002,2002,39,29th & Chalmers Sts.,B,M,N,23
12/28/2002,2002,22,2837 Ridge Ave.,B,M,N,49
12/28/2002,2002,35,4800 N. 7th St.,B,M,N,20
12/28/2002,2002,04,600 Moore St.   I,B,M,N,20
12/28/2002,2002,39,117 W. Logan St.,B,M,N,20
12/28/2002,2002,15,4600 Penn St.,B,M,N,23
12/28/2002,2002,18,1126 S. 47th St.   I,B,M,N,29
12/29/2002,2002,35,1800 W. 68th Ave.,B,M,N,52
12/29/2002,2002,17,2200 Reed St.,B,M,N,36
12/29/2002,2002,15,6509 Torresdale Av,W,M,N,24
12/30/2002,2002,01,2400 Mifflin St.,B,M,N,27
12/30/2002,2002,22,1246 W. Lehigh Ave.,B,M,N,19
12/30/2002,2002,12,5800 Willows St.,B,M,N,27
12/30/2002,2002,19,6000 Lansdowne,B,M,N,24
12/30/2002,2002,19,1600 N. Allison St.,B,M,N,19
12/31/2002,2002,12,6300 Kingsessing,B,M,N,22
12/31/2002,2002,39,300 W. Queen La.,B,M,N,40
12/31/2002,2002,39,3129 N. Hemberger St  I,B,F,N,16
12/31/2002,2002,19,1205 N. 52nd St.,B,M,N,38
01/01/2003,2003,18,3400 Spruce St.,B,M,N,21
01/01/2003,2003,03,466 Christian St.,B,M,N,16
01/01/2003,2003,03,636 Washington Ave.,A,M,N,37
01/01/2003,2003,12,7100 Woodland Ave.,B,M,N,19
01/01/2003,2003,39,2200 W. Cambria St.,B,M,N,18
01/02/2003,2003,22,2000 N. 20th St.,B,M,N,19
01/02/2003,2003,18,1200 Markoe St.,B,M,N,28
01/02/2003,2003,22,2000 N. 20th St.,B,M,N,10
01/02/2003,2003,02,7301 Algon Ave.,B,M,N,17
01/02/2003,2003,23,2700 W.CB Moore,B,M,N,23
01/02/2003,2003,39,4912 Germantown,B,M,N,43
01/02/2003,2003,22,2901 W. Norris St.,B,M,N,20
01/02/2003,2003,16,619 N.39th St.,B,M,N,45
01/02/2003,2003,14,800 Church La.,B,M,N,45
01/03/2003,2003,39,Wayne & Roberts,B,M,N,32
01/03/2003,2003,06,824 N. 5th St.,B,M,N,63
01/03/2003,2003,26,108 W.Susquehanna,W,M,Y,20
01/03/2003,2003,26,2338 N. Fairhill St.,B,M,N,26
01/03/2003,2003,19,60th & Market Sts.,B,M,N,24
01/04/2003,2003,19,1 N. 57th St.,B,M,N,19
01/04/2003,2003,14,5914 Germantown,B,M,N,52
01/04/2003,2003,19,5200 Lansdowne,B,M,N,24
01/04/2003,2003,14,800 E. Woodlawn,B,M,N,29
01/04/2003,2003,09,15th & Fairmount,B,M,N,23
01/05/2003,2003,14,6645 Germantown,B,M,N,19
01/06/2003,2003,12,5200 Woodland Ave.,B,F,N,18
01/07/2003,2003,18,59th & Webster Sts.,B,M,N,21
01/07/2003,2003,19,6700 Media St.,B,M,N,18
01/07/2003,2003,12,6535 Guyer Ave.,B,M,N,26
01/08/2003,2003,23,3044 W. Harper St.,B,M,N,21
01/08/2003,2003,24,1800 E. Clearfield St.,W,M,Y,22
01/09/2003,2003,23,3100 Clifford Ave.,B,F,N,13
01/10/2003,2003,39,2900 W. Bambrey St,B,M,N,23
01/10/2003,2003,14,29 E. Chelten Ave.,B,M,N,19
01/10/2003,2003,19,5900 W. Arch St.,B,M,N,17
01/10/2003,2003,22,29th & Dauphin Sts.,B,M,N,18
01/11/2003,2003,22,2736 W. Oakdale St.,B,M,N,28
01/11/2003,2003,39,3300 Henry Ave.,B,M,N,21
01/11/2003,2003,22,2500 Harold St.,B,M,N,19
01/11/2003,2003,22,2500 Harold St.,B,M,N,19
01/11/2003,2003,22,2500 Harold St.,B,M,N,23
01/11/2003,2003,16,3912 Pennsgrove St.,B,M,N,16
01/11/2003,2003,25,3400 Germantown,B,M,N,22
01/12/2003,2003,35,5000 N. 5th St.,B,M,N,32
01/12/2003,2003,19,6200 Lansdowne,B,M,N,53
01/12/2003,2003,12,5700 Woodland Ave.,B,M,N,20
01/12/2003,2003,12,6600 Grays Ave.,B,M,N,35
01/12/2003,2003,19,53rd & Market Sts.,B,M,N,25
01/12/2003,2003,19,53rd & Market Sts.,B,M,N,17
01/12/2003,2003,12,5700 Woodland Ave.,B,F,N,20
01/12/2003,2003,35,5000 N. 5th St.,B,M,N,33
01/12/2003,2003,12,5700 Woodland Ave.,B,M,N,22
01/13/2003,2003,22,21st & York Sts.,B,M,N,29
01/13/2003,2003,39,2001 W. Erie Ave.,W,M,Y,30
01/14/2003,2003,14,7439 E. Walnut La.,B,M,N,20
01/14/2003,2003,22,1600 French St.,B,M,N,24
01/14/2003,2003,12,5100 Chester Ave.,B,M,N,26
01/14/2003,2003,22,3000 Norris St.,B,M,N,24
01/15/2003,2003,12,Wilton &  Woodland,B,M,N,38
01/15/2003,2003,18,200 S. 58th St.,B,M,N,19
01/15/2003,2003,25,3400 N. 11th St.,B,M,N,26
01/16/2003,2003,19,6120 Vine St.,B,M,N,23
01/16/2003,2003,23,1400 N. 26th St.,B,M,N,18
01/16/2003,2003,39,5364 Pricilla St.,B,M,N,20
01/16/2003,2003,19,Horton & Callowhill,B,M,N,24
01/16/2003,2003,39,3245 N. 26th St.,B,M,N,59
01/17/2003,2003,24,3905 I St.,B,M,N,33
01/17/2003,2003,24,3027 Boudinot St.,W,M,Y,18
01/17/2003,2003,25,4200 Old York Rd.,B,M,N,18
01/17/2003,2003,35,4807 Old York Rd.,B,M,N,21
01/18/2003,2003,15,5100 Devereau St.,W,M,N,43
01/18/2003,2003,17,1400 S. 24th St.,B,M,N,46
01/18/2003,2003,92,Chamounix & Ford Rd,B,M,N,38
01/18/2003,2003,25,3101 N. Broad St.,B,M,N,37
01/18/2003,2003,02,2101 Cottman Ave.,B,F,N,30
01/18/2003,2003,15,4903 Penn St.,W,M,N,47
01/19/2003,2003,12,1622 S. 58th St.,B,M,N,24
01/19/2003,2003,35,5th & Ruscomb Sts.,B,M,N,19
01/19/2003,2003,12,1622 S. 58th St.,B,M,N,17
01/19/2003,2003,12,1622 S. 58th St.,B,F,N,19
01/19/2003,2003,35,5000 N. 5th St.,B,M,N,19
01/19/2003,2003,22,1800 N. Marston St.,B,M,N,18
01/19/2003,2003,23,1201 Girard Ave.,B,M,N,35
01/19/2003,2003,12,1622 S. 58th St.,B,F,N,36
01/20/2003,2003,18,5037 Baltimore Ave.,B,M,N,21
01/20/2003,2003,19,6500 Lebanon Ave.,B,M,N,27
01/21/2003,2003,19,412 N. Salford St.,B,M,N,69
01/21/2003,2003,24,1901 E. Lehigh Ave.,W,M,Y,22
01/22/2003,2003,22,2100 Marston St.,B,M,N,20
01/22/2003,2003,16,3700 Wallace St.,B,M,N,43
01/22/2003,2003,24,2014 E. Monmouth St,B,M,N,22
01/23/2003,2003,19,6200 Lansdowne,B,M,N,26
01/24/2003,2003,23,Dover & Master Sts.,B,M,N,36
01/25/2003,2003,25,3044 N. Mascher St.,B,F,N,30
01/25/2003,2003,35,1300 W. 66th St.,B,F,N,17
01/25/2003,2003,19,62nd & Media Sts.,B,M,N,18
01/25/2003,2003,12,6923 Linmore Ave.,W,M,N,26
01/25/2003,2003,19,1643 N. 55th St.,B,F,N,19
01/25/2003,2003,25,8th & Lycoming Sts.,B,M,N,20
01/25/2003,2003,25,3044 N. Mascher St.,B,M,N,32
01/25/2003,2003,17,1600 S. Taylor St.,B,M,N,16
01/25/2003,2003,35,6100 Limekiln Pk.,B,M,N,51
01/26/2003,2003,25,3300 B St.,W,M,Y,27
01/26/2003,2003,39,2500 W. Cambria St.,B,M,N,27
01/26/2003,2003,22,2325 N.Beechwood,B,M,N,24
01/26/2003,2003,14,7610 Ogontz Ave.,B,M,N,22
01/26/2003,2003,14,5686 Morton St.,B,M,N,54
01/26/2003,2003,25,3300 Rosehill St.,W,M,Y,24
01/26/2003,2003,16,42nd&Powelton Sts.,B,M,N,26
01/26/2003,2003,22,Gratz & Dauphin Sts.,B,M,N,43
01/27/2003,2003,12,1433 S. 58th St.,B,M,N,18
01/28/2003,2003,18,5400 Delancy St.,B,M,N,29
01/28/2003,2003,18,5400 Delancy St.,B,M,N,21
01/29/2003,2003,18,5800 Christian St.,B,M,N,21
01/29/2003,2003,15,4691 Hawthorne St.,B,M,N,22
01/29/2003,2003,24,1700 E. Hunting Pk.,B,M,N,24
01/29/2003,2003,18,5433 Delancy St.,B,M,N,24
01/30/2003,2003,17,2400 Dickenson St.,B,M,N,51
01/31/2003,2003,35,5620 N. 13th St.,A,M,N,31
01/31/2003,2003,39,4000 Germantown,B,M,N,18
01/31/2003,2003,39,4000 Germantown,B,M,N,23
02/01/2003,2003,25,3949 N. Broad St.,B,M,N,21
02/01/2003,2003,39,30th & Allegheny Ave,B,M,N,20
02/01/2003,2003,23,1700 N. Broad St.,B,M,N,21
02/01/2003,2003,23,1700 N. Broad St.,B,F,N,21
02/02/2003,2003,16,305 N. 52nd St.,B,M,N,27
02/02/2003,2003,12,6313 Dicks Ave.,W,M,N,48
02/02/2003,2003,17,1500 Bainbridge St.,B,M,N,17
02/02/2003,2003,24,2800 Kensington,B,M,N,30
02/02/2003,2003,16,824 N. Preston St.,B,M,N,22
02/02/2003,2003,14,Walnut La.& Magnolia,B,M,N,19
02/03/2003,2003,23,2424 W. Thompson,B,F,N,26
02/03/2003,2003,16,822 N. Markoe St.,B,M,N,49
02/03/2003,2003,17,2400 Morris St.,B,M,N,23
02/04/2003,2003,17,1000 S. 18th St.,B,M,N,19
02/05/2003,2003,39,1400 W. Indiana Ave,B,M,N,31
02/05/2003,2003,19,800 N. 68th St.,B,M,N,23
02/05/2003,2003,18,6110 Market St.,B,M,N,45
02/05/2003,2003,19,2 N. Salford St.,B,M,N,52
02/05/2003,2003,39,Broad & Hunting Pk.,B,M,N,18
02/06/2003,2003,19,5600 Cherry St.,B,M,N,18
02/06/2003,2003,26,500 W. York St.,B,M,N,24
02/06/2003,2003,15,5410 Large St.,B,M,N,28
02/06/2003,2003,19,227 N. Gross St.,B,M,N,21
02/06/2003,2003,03,1300 S. 12th St.,B,M,N,22
02/06/2003,2003,35,Stenton & Old York,B,M,N,21
02/06/2003,2003,16,3901 Wyalusing Ave,B,F,N,20
02/07/2003,2003,12,71st & Woodland Sts.,B,M,N,42
02/07/2003,2003,25,4500 N. 3rd St.,W,M,Y,21
02/07/2003,2003,24,2800 Emerald St.,W,M,Y,18
02/08/2003,2003,18,62nd & Market Sts.,B,M,N,32
02/08/2003,2003,12,6206 Woodland Ave.,B,M,N,38
02/08/2003,2003,17,1400 Schuylkill Ave.,B,M,N,30
02/09/2003,2003,39,2300 W. Cambria St.,B,M,N,20
02/09/2003,2003,17,3300 Reed St.,B,M,N,27
02/09/2003,2003,25,200 W. Ontario St.,W,M,Y,20
02/09/2003,2003,35,5116 N. 10th St.,B,M,N,28
02/10/2003,2003,24,Kensington&Somerset,W,M,Y,35
02/10/2003,2003,22,2261 N. Lambert St.,B,M,N,25
02/11/2003,2003,35,1827 Rockland St.,B,M,N,23
02/11/2003,2003,22,1100 W. Huntington,B,M,N,38
02/12/2003,2003,22,1800 N. 24th St.,B,F,N,15
02/12/2003,2003,35,331 W. Wellen St.,W,M,Y,44
02/13/2003,2003,02,500 Magee St.,W,M,N,35
02/14/2003,2003,39,2610 W. Silver St.,B,M,N,20
02/14/2003,2003,16,5100 Ogdon St.,B,M,N,31
02/14/2003,2003,12,5956 Chester Ave.,B,M,N,46
02/15/2003,2003,26,2560 N. Front St.,W,M,Y,22
02/15/2003,2003,15,4120 Unruh Ave.,W,M,N,25
02/15/2003,2003,23,Ridge & Oxford Aves,B,M,N,70
02/15/2003,2003,15,5500 Torresdale,B,M,N,14
02/15/2003,2003,26,2560 N. Front St.,W,M,Y,19
02/15/2003,2003,07,11939 Dumont Rd.,W,M,N,30
02/16/2003,2003,16,860 N. Palm St.,B,M,N,38
02/16/2003,2003,35,Chelten & Norwood,B,M,N,25
02/16/2003,2003,25,900 Pike St.,B,M,N,40
02/17/2003,2003,09,17th & Swain Sts.,B,M,N,25
02/17/2003,2003,24,"2750 ""A"" St.",W,M,Y,33
02/18/2003,2003,35,1418 Conlyn St.,B,M,N,23
02/18/2003,2003,17,1651 S. Marston St.,B,M,N,33
02/18/2003,2003,22,2004 N. 22nd St.,B,F,N,20
02/19/2003,2003,35,Broad & Olney Ave.,B,F,N,42
02/19/2003,2003,22,1900 W. Norris St.,B,M,N,19
02/19/2003,2003,18,6124 Irving St.,B,M,N,15
02/19/2003,2003,12,845 S. 55th St.,W,M,Y,55
02/19/2003,2003,24,1363 E. Lycoming St.,W,M,Y,42
02/19/2003,2003,24,3339 Jasper St.,W,M,Y,20
02/19/2003,2003,24,1363 E. Lycoming St.,W,M,Y,52
02/19/2003,2003,09,159 N. 21st St.,W,M,N,27
02/19/2003,2003,04,4th & Mifflin Sts.,B,M,N,25
02/19/2003,2003,24,3339 Jasper St.,W,M,Y,16
02/20/2003,2003,16,655 N. May St.,B,M,N,25
02/20/2003,2003,23,24th & Oxford Sts.,B,M,N,26
02/21/2003,2003,17,1800 Federal St.,B,M,N,30
02/21/2003,2003,18,218 S. 49th St.,B,M,N,28
02/21/2003,2003,17,1800 Federal St.,B,M,N,27
02/21/2003,2003,14,5655 Boyer St.,B,M,N,33
02/21/2003,2003,16,3800 Olive St.,B,M,N,18
02/21/2003,2003,17,1800 Federal St.,B,M,N,26
02/21/2003,2003,16,3800 Olive St.,B,M,N,17
02/21/2003,2003,18,702 S. 52nd St.,B,M,N,22
02/21/2003,2003,25,1011 W. Erie Ave.,W,F,Y,13
02/21/2003,2003,12,5738 Belmar Ave.,B,M,N,19
02/21/2003,2003,16,3700 Aspen St.,B,M,N,26
02/22/2003,2003,12,66th & Elmwood Sts.,B,M,N,19
02/22/2003,2003,12,2137 Cecil St.,B,M,N,22
02/23/2003,2003,19,5237 Jefferson St.,B,F,N,10
02/23/2003,2003,22,2518 N. 33rd St.,B,M,N,26
02/23/2003,2003,23,2700 Montgomery,B,M,N,34
02/24/2003,2003,25,3124 Front St.,B,M,N,23
02/24/2003,2003,07,1708 Strahle St.,W,F,N,39
02/24/2003,2003,12,5601 Woodland Ave.,B,M,N,37
02/24/2003,2003,25,2716 N. Broad St.,W,M,Y,28
02/24/2003,2003,22,2300 N. 29th St.,B,M,N,18
02/24/2003,2003,25,3124 Front St.,W,M,Y,17
02/24/2003,2003,25,3124 Front St.,B,M,N,23
02/25/2003,2003,12,5500 Woodland Ave.,B,M,N,22
02/25/2003,2003,08,8768 Glenloch St.,B,M,N,17
02/25/2003,2003,04,1206 Tree St.,W,M,N,59
02/25/2003,2003,09,1621 Green St.,W,M,N,72
02/25/2003,2003,08,8768 Glenloch St.,B,M,N,22
02/25/2003,2003,15,4027 Higbee St.,B,M,N,26
02/26/2003,2003,17,18th & Latona Sts.,B,M,N,22
02/26/2003,2003,22,2844 W. Huntingdon,B,M,N,18
02/26/2003,2003,25,3965 N. Franklin St.,B,M,N,32
02/27/2003,2003,19,849 N. 63rd St.,B,M,N,38
02/27/2003,2003,08,8800 Cottage St.,B,M,N,17
02/27/2003,2003,12,2229 S. Bonnafon St,B,M,N,24
02/27/2003,2003,12,2229 S. Bonnafon St,B,M,N,23
02/28/2003,2003,18,34 S. Redfield St.,B,M,N,35
02/28/2003,2003,24,2839 Kensington,B,M,N,22
02/28/2003,2003,22,2000 W. York St.,B,M,N,15
02/28/2003,2003,03,930 S. 12th St.,B,M,N,32
03/01/2003,2003,17,1608 Montrose St.,B,M,N,18
03/01/2003,2003,12,5117 Woodland Ave.,B,M,N,23
03/01/2003,2003,12,5117 Woodland Ave.,B,M,N,48
03/01/2003,2003,22,2300 Gratz St.,W,M,N,21
03/01/2003,2003,19,2491 N. 50th St.,B,M,N,23
03/01/2003,2003,18,4834 Spruce St.,B,M,N,25
03/01/2003,2003,18,741 S. 60th St.,B,M,N,39
03/01/2003,2003,12,5117 Woodland Ave.,B,M,N,24
03/01/2003,2003,25,1300 W. Erie Ave.,B,M,N,27
03/02/2003,2003,16,3800 Melon St.,B,M,N,19
03/02/2003,2003,16,515 N. 34th St.,B,F,N,39
03/02/2003,2003,12,58th & Chester Sts.,B,M,N,30
03/02/2003,2003,12,58th & Chester Sts.,B,M,N,16
03/02/2003,2003,22,2701 Montgomery,B,M,N,27
03/02/2003,2003,02,897 Foulkrod St.,W,M,Y,53
03/02/2003,2003,12,58th & Chester Sts.,B,M,N,24
03/02/2003,2003,16,4918 Olive St.,B,M,N,45
03/02/2003,2003,22,2920 W. Lehigh Ave.,B,M,N,22
03/03/2003,2003,15,2000 Bridge St.,B,M,N,22
03/03/2003,2003,15,4822 Jackson Pl.,B,M,N,36
03/04/2003,2003,39,2101 Venango St.,B,M,N,24
03/05/2003,2003,39,3000 N. Bonsall St.,B,M,N,20
03/05/2003,2003,22,1700 Cumberland St.,B,M,N,29
03/05/2003,2003,12,2103 S. Daggett St.,B,M,N,39
03/06/2003,2003,25,3842 Palethorpe St.,B,M,N,19
03/06/2003,2003,08,8700 Glenloch St.,B,M,N,22
03/06/2003,2003,39,1500 W. Venango St,B,M,N,23
03/07/2003,2003,39,3600 N. Broad St.,B,M,N,22
03/07/2003,2003,19,200 N. Edgewood St,B,M,N,30
03/07/2003,2003,22,2600 Montgomery,B,M,N,39
03/07/2003,2003,25,"3942 ""G"" St.",W,M,Y,19
03/07/2003,2003,25,"3942 ""G"" St.",W,M,Y,25
03/08/2003,2003,19,5300 Berks St.,B,M,N,41
03/08/2003,2003,39,2800 N. 24th St.,B,M,N,28
03/08/2003,2003,19,5217 W. Girard Ave.,B,M,N,18
03/08/2003,2003,26,400 W. Cumberland,B,M,N,27
03/08/2003,2003,18,5520 Cedar Ave.,B,M,N,37
03/08/2003,2003,26,5th & Cumberland,B,M,N,16
03/08/2003,2003,19,1416 N. 52nd St.,B,M,N,20
03/09/2003,2003,02,5691 Rising Sun,W,M,N,27
03/09/2003,2003,26,151 W. Norris St.,W,M,N,20
03/09/2003,2003,26,2055 N. 2nd St.,W,M,Y,54
03/09/2003,2003,26,151 W. Norris St.,W,M,Y,12
03/09/2003,2003,22,1838 N. 24th St.,B,M,N,22
03/09/2003,2003,15,2048 Wilmot St.,B,F,N,32
03/10/2003,2003,39,1808 Tioga St.,B,M,N,25
03/10/2003,2003,39,3618 N. Gratz St.,B,M,N,19
03/10/2003,2003,22,2042 N. 23rd St.,B,M,N,23
03/11/2003,2003,23,1906 Ingersoll St.,B,M,N,18
03/12/2003,2003,25,4646 Palethorpe St.,W,M,Y,20
03/12/2003,2003,17,1900 Reed St.,B,M,N,21
03/12/2003,2003,25,11th & Erie Ave.,B,M,N,18
03/12/2003,2003,18,48th & Locust Sts.,B,M,N,18
03/13/2003,2003,19,1503 N. 62nd St.,B,M,N,35
03/13/2003,2003,16,3911 Melon St.,B,M,N,39
03/14/2003,2003,01,2700 Tree Terrace,B,M,N,26
03/15/2003,2003,14,1967 74th Ave.,B,M,N,40
03/15/2003,2003,12,54th & Chester Ave.,B,M,N,30
03/15/2003,2003,26,2650 Frankford Ave.,W,M,N,40
03/15/2003,2003,12,5530 Chester Ave.,B,M,N,24
03/15/2003,2003,25,209W.Westmoreland,W,M,Y,18
03/15/2003,2003,35,1600 Ruscomb St.,B,M,N,25
03/16/2003,2003,17,2354 Gerritt St.,B,M,N,32
03/16/2003,2003,12,57th & Chester Ave.,B,M,N,22
03/16/2003,2003,16,46th & LancasterAve,B,M,N,26
03/16/2003,2003,17,1800 Federal St.,B,M,N,30
03/16/2003,2003,01,2800 Jackson St.,B,M,N,21
03/16/2003,2003,18,5600 Market St.,B,M,N,34
03/16/2003,2003,01,3800 Sheaf La.,B,M,N,24
03/16/2003,2003,22,30th & Huntingdon,B,M,N,37
03/17/2003,2003,17,1500 S. 21st St.,B,M,N,24
03/17/2003,2003,14,260 E. Johnson St.,W,M,N,22
03/17/2003,2003,19,1143 Marlyn Rd.,B,F,N,34
03/17/2003,2003,18,5400 Cedar Ave.,B,M,N,20
03/17/2003,2003,19,63rd & Lancaster,B,M,N,27
03/17/2003,2003,35,6500 Lambert St.,B,M,N,29
03/17/2003,2003,23,1419 N. Gratz St.,B,M,N,45
03/17/2003,2003,35,6500 Lambert St.,B,M,N,20
03/17/2003,2003,06,100 Fairmount Ave.,B,M,N,27
03/18/2003,2003,22,2400 N. Opal St.,B,M,N,27
03/18/2003,2003,17,1252 S. 21st St.,B,M,N,25
03/18/2003,2003,17,1800 South St.,B,M,N,22
03/18/2003,2003,22,2269 N. Gratz St.,B,M,N,18
03/18/2003,2003,23,2400 Turner St.,B,M,N,17
03/18/2003,2003,18,5801 Catherine St.,B,F,N,17
03/18/2003,2003,22,2269 N. Gratz St.,B,M,N,22
03/18/2003,2003,22,2269 N. Gratz St.,B,M,N,21
03/18/2003,2003,25,3203 Rorer St.,W,M,Y,28
03/19/2003,2003,22,2437 Corlies St.,B,M,N,20
03/19/2003,2003,09,2200 Ben Franklin,B,F,N,27
03/20/2003,2003,19,61st & Race Sts.,B,M,N,32
03/20/2003,2003,39,1729 W.Venango St.,B,M,N,29
03/21/2003,2003,23,2400 Sharswood St.,B,M,N,23
03/21/2003,2003,19,103 N. Millick St.,B,M,N,17
03/21/2003,2003,14,5904 Greene St.,B,M,N,24
03/21/2003,2003,35,4505 N. Broad St.,B,M,N,24
03/21/2003,2003,22,1200 Firth St.,B,M,N,20
03/21/2003,2003,17,1529 S. Lambert St.,B,M,N,18
03/21/2003,2003,19,103 N. Millick St.,B,M,N,27
03/21/2003,2003,04,600 Porter St.,A,M,N,16
03/22/2003,2003,15,1600 Pratt St.,B,M,N,31
03/22/2003,2003,39,2933 N. 24th St.,B,M,N,37
03/22/2003,2003,25,2700 N. Park Ave.,B,M,N,23
03/22/2003,2003,12,6500 Dicks St.,B,M,N,17
03/22/2003,2003,23,2500 CB Moore,B,M,N,27
03/22/2003,2003,12,54th Willows Ave.,B,M,N,19
03/22/2003,2003,19,6000 Race St.,B,M,N,35
03/23/2003,2003,24,3200 KensingtonAve,B,M,N,22
03/23/2003,2003,39,2700 W. Silver St.,B,M,N,31
03/23/2003,2003,24,3214 KensingtonAve,B,M,N,26
03/23/2003,2003,01,2000 Sigel St.,B,M,N,25
03/24/2003,2003,35,180 W. Duncannon,W,M,N,19
03/24/2003,2003,19,6100 Market St.,B,M,N,16
03/24/2003,2003,02,2104 Borbeck St.,W,M,N,41
03/24/2003,2003,22,2042 Boston St.,B,F,N,31
03/24/2003,2003,15,4281 Orchard St.,B,M,N,23
03/25/2003,2003,19,5601 Vine St.,B,F,N,28
03/25/2003,2003,19,5601 Vine St.,B,M,N,50
03/25/2003,2003,12,5726 Thomas St.,B,M,N,35
03/25/2003,2003,17,2709 Morris St.,B,M,N,26
03/25/2003,2003,23,1700 N. 32nd St.,B,M,N,35
03/25/2003,2003,39,3300 Henry Ave.,B,M,N,38
03/26/2003,2003,16,3601 Wallace St.,B,M,N,17
03/26/2003,2003,17,2400 Tasker St.,B,M,N,19
03/26/2003,2003,19,5100 Kershaw St.,W,M,N,40
03/27/2003,2003,04,700 Tree St.,B,M,N,12
03/27/2003,2003,35,6549 Ogontz Ave.,B,M,N,56
03/27/2003,2003,14,6200 Homer St.,B,M,N,17
03/27/2003,2003,39,3901 Germantown,B,M,N,32
03/27/2003,2003,12,6700 Woodland Ave.,B,M,N,23
03/28/2003,2003,16,4000 Lancaster Ave,B,F,N,15
03/28/2003,2003,24,3000 Weikel St.,W,M,Y,26
03/28/2003,2003,25,3300 N. Water St.,W,F,N,23
03/28/2003,2003,15,1622 Howell St.,W,M,N,73
03/28/2003,2003,25,3300 N. Water St.,B,M,N,26
03/28/2003,2003,25,3300 N. Water St.,B,M,N,24
03/28/2003,2003,19,1900 N. 59th St.,B,M,N,14
03/29/2003,2003,18,58th & Catherine Sts.,B,M,N,20
03/29/2003,2003,02,5566 Hill Creek Dr.,B,M,N,20
03/29/2003,2003,18,58th & Catherine Sts.,B,M,N,20
03/29/2003,2003,18,58th & Catherine Sts.,B,M,N,16
03/29/2003,2003,19,5348 Arlington St.,B,F,N,15
03/29/2003,2003,19,1833 N. 54th St.,B,M,N,16
03/29/2003,2003,18,58th & Catherine Sts.,B,M,N,19
03/29/2003,2003,18,58th & Catherine Sts.,B,M,N,26
03/30/2003,2003,12,6864 Guyer St.,B,M,N,22
03/30/2003,2003,35,3rd & Ashdale Sts.,W,M,N,41
03/30/2003,2003,18,5147 Webster St.,B,M,N,29
03/30/2003,2003,23,1524 W. Ingersoll St.,B,M,N,40
03/30/2003,2003,01,2300 Snyder Ave.,A,M,N,20
03/31/2003,2003,24,2000 Valetta St.,B,M,N,26
03/31/2003,2003,23,1200 N. Watts St.,B,M,N,20
03/31/2003,2003,19,5816 Malvern Ave.,B,M,N,26
03/31/2003,2003,16,3412 Spring Garden,B,M,N,23
04/01/2003,2003,39,1500 W. Seltzer St.,B,M,N,47
04/01/2003,2003,12,1332 S. 56th St.,B,M,N,33
04/01/2003,2003,25,3700 Germantown,W,M,N,36
04/01/2003,2003,16,3001 Market St.,B,M,N,51
04/02/2003,2003,22,1853 N. 24th St.,B,M,N,28
04/02/2003,2003,01,1535 Forrestal St.,W,M,N,41
04/02/2003,2003,22,2100 Diamond St.,B,M,N,15
04/02/2003,2003,23,1600 N. 22nd St.,A,M,N,29
04/02/2003,2003,18,5700 Washington,B,M,N,19
04/03/2003,2003,39,3600 N. 17th St.,B,M,N,18
04/03/2003,2003,39,542 King St.,B,M,N,36
04/04/2003,2003,35,1100 Coutland St.,B,M,N,36
04/04/2003,2003,16,3900 Wyalusing Ave,B,M,N,22
04/04/2003,2003,22,2100 York St.,B,M,N,28
04/04/2003,2003,09,1718 Sansom St.,W,M,N,28
04/04/2003,2003,02,7704 Rockwell Ave.,W,M,N,44
04/04/2003,2003,14,7000 Forest Ave.,B,M,N,20
04/04/2003,2003,22,2100 York St.,B,M,N,28
04/05/2003,2003,35,155 E. Godfrey Ave.,B,M,N,36
04/05/2003,2003,19,6207 Market St.,B,M,N,18
