DATE,YEAR,DIST,LOCATION,R,S,L,AGE
01/22/2001,2001,35,4925 N. 16th St.,B,M,N,53
01/23/2001,2001,14,Chew Ave. &  Hortter St.,B,M,N,25
01/23/2001,2001,16,5061 Parrish St.,B,M,N,20
01/23/2001,2001,39,3640 N. 18th St.,B,M,N,19
01/23/2001,2001,19,104 N. 63rd St.,B,M,N,52
01/23/2001,2001,25,4610 N. Front St.,B,M,N,43
01/24/2001,2001,12,Edgewood & Greenway Sts.,B,M,N,26
01/24/2001,2001,26,50 W. Lehigh Ave.,W,M,Y,30
01/24/2001,2001,35,219 E. Albanus St.,B,M,N,26
01/24/2001,2001,12,2100 Edgewood St.,B,M,N,25
01/24/2001,2001,39,3637 N. 18th St.,B,M,N,18
01/25/2001,2001,35,5748 N. 7th St.,B,M,N,32
01/25/2001,2001,06,401 S. Delaware Ave.,W,M,N,22
01/26/2001,2001,25,Cambria & Mascher Sts.,B,M,N,24
01/26/2001,2001,12,1400 S. 57th St.,B,M,N,14
01/26/2001,2001,39,3101 N. 22nd St.,B,M,N,25
01/27/2001,2001,19,1600 Redfield St.,B,M,N,23
01/27/2001,2001,14,145 Hansberry,B,M,N,38
01/27/2001,2001,25,1242 W. Venango St.,B,M,N,22
01/27/2001,2001,19,5914 W. Master St.,B,F,N,29
01/28/2001,2001,35,5909 N. Broad St.,B,M,N,31
01/28/2001,2001,24,B St. & Tusculum St.,B,M,N,25
01/28/2001,2001,25,Gurney & Howard Sts.,W,M,Y,22
01/28/2001,2001,25,2900 Waterloo St.,W,M,Y,26
01/28/2001,2001,12,5300 Woodland Ave.,B,M,N,19
01/28/2001,2001,25,2843 N. 4th St.,B,M,N,18
01/28/2001,2001,24,B St. & Tusculum St.,W,M,N,25
01/28/2001,2001,25,5th St. & Indiana Ave.,W,M,Y,37
01/29/2001,2001,12,60th St. & Chester Ave.,B,M,N,28
01/29/2001,2001,25,4000 N. 5th St.,B,M,N,30
01/29/2001,2001,25,5th St. & Hunting Pk. Ave.,B,M,N,30
01/30/2001,2001,17,1500 Corlies St.,B,F,N,35
01/30/2001,2001,14,5521 Boyer,B,M,N,21
01/31/2001,2001,01,Bouvier St. & Snyder Ave.,W,M,N,35
02/01/2001,2001,08,8771 Glenloch,B,M,N,35
02/01/2001,2001,16,4300 Wyalusing,B,M,N,35
02/01/2001,2001,14,Wayne ave.&Logan st.,B,M,N,31
02/02/2001,2001,35,7639 Fayete,B,F,N,34
02/02/2001,2001,25,2859 N. American,B,M,N,35
02/03/2001,2001,19,2130 N. 63rd,B,M,N,27
02/03/2001,2001,19,5500 Vine,B,M,N,19
02/03/2001,2001,35,5800 N. Camac,B,M,N,18
02/04/2001,2001,19,53rd & Market,B,M,N,20
02/04/2001,2001,19,53rd&Market,B,M,N,26
02/07/2001,2001,35,1400 Haines,B,M,N,30
02/07/2001,2001,04,6th & Mifflin,B,M,N,22
02/07/2001,2001,17,17th & Morris,B,M,N,20
02/07/2001,2001,26,902 W. Huntingdon,W,M,N,21
02/08/2001,2001,18,5900 Cedar,B,M,N,29
02/08/2001,2001,35,6800 N. Broad,B,M,N,29
02/08/2001,2001,12,5500 Regent,B,M,N,20
02/08/2001,2001,19,1400 N. Wanamaker,B,M,N,40
02/08/2001,2001,04,600 W. Mifflin,B,M,N,20
02/08/2001,2001,19,1400 N. Wanamaker,B,M,N,20
02/08/2001,2001,19,1400 N. Wanamaker,B,M,N,41
02/08/2001,2001,14,7118 Boyer,B,M,N,19
02/08/2001,2001,35,11th&Lindley,B,M,N,27
02/08/2001,2001,35,1100 W. Wingohocking,B,M,N,44
02/08/2001,2001,12,1900 S. 66th,B,M,N,19
02/09/2001,2001,16,4000 Filbert,B,M,N,25
02/09/2001,2001,18,4000 Woodland,B,M,N,14
02/09/2001,2001,16,600 N. 34th,B,M,N,30
02/09/2001,2001,19,400 Edgemore,B,M,N,23
02/09/2001,2001,19,400 Edgemore,B,M,N,26
02/10/2001,2001,24,Auburn&Boudinot,B,M,N,17
02/10/2001,2001,17,2400 Manton,B,M,N,22
02/10/2001,2001,35,Broad&Olney,B,M,N,18
02/10/2001,2001,39,3300 N. Broad,B,M,N,25
02/10/2001,2001,35,Broad&Olney,B,M,N,20
02/10/2001,2001,16,898 Belmont,B,M,N,16
02/11/2001,2001,14,5220 Wayne,B,M,N,34
02/11/2001,2001,25,5th&Hunting Park,W,M,Y,22
02/11/2001,2001,19,403 N. 64th,W,M,N,24
02/12/2001,2001,17,3003 Pierce Dr.,B,M,N,18
02/12/2001,2001,24,1929 E. Tioga,W,M,Y,23
02/12/2001,2001,19,3003 Pierce Dr.,B,M,N,48
02/12/2001,2001,19,3003 Pierce Dr.,B,M,N,28
02/13/2001,2001,39,18th&Hunting Park,B,M,N,43
02/13/2001,2001,22,1426 W. Susquahanna,B,M,N,31
02/13/2001,2001,17,2140 Latona,B,M,N,19
02/13/2001,2001,18,46th&Pine,B,M,N,50
02/13/2001,2001,22,1426 W. Susquahanna,B,M,N,28
02/14/2001,2001,39,20th&Westmoreland,B,M,N,29
02/15/2001,2001,22,2300 N. Natrona,B,M,N,20
02/15/2001,2001,35,4900 N. 2nd,B,M,N,34
02/15/2001,2001,25,7th&Butler,W,M,Y,14
02/15/2001,2001,01,2600 Point Breeze,B,M,N,17
02/16/2001,2001,25,4th&Cambria,W,M,Y,20
02/16/2001,2001,12,6000 Kingsessing,B,M,N,29
02/17/2001,2001,23,19th&Jefferson,B,M,N,24
02/17/2001,2001,23,19th&Jefferson,B,M,N,24
02/18/2001,2001,15,6200 Hawthorne,W,M,Y,15
02/18/2001,2001,19,5419 Master,B,F,N,45
