CaseNumber,Date,Year,District,Location,LocationDir,LocationStreet,Age,Race,Sex,Hispanic,UCR,Weapon
M03205,8/4/2003,2003,12,1619,S,53RD STREET,17,B,M,N,111,HANDGUN
M03207,8/4/2003,2003,01,2000,S,22ND STREET,23,B,M,N,111,HANDGUN
M03208,8/5/2003,2003,14,2129,,74TH AVENUE,22,B,M,N,111,HANDGUN
M03209,8/8/2003,2003,26,2134,N,3RD STREET,38,B,M,N,111,HANDGUN
M03211,8/8/2003,2003,18,6000,,WASHINGTON AVE,20,B,M,N,111,HANDGUN
M03213,8/8/2003,2003,12,6110,,REINHARD STREET,31,B,M,N,111,HANDGUN
M03215,8/13/2003,2003,35,6703,N,4TH STREET,32,B,F,N,111,HANDGUN
M03216,8/14/2003,2003,17,2500,,TASKER STREET,26,B,M,N,111,HANDGUN
M03218,8/16/2003,2003,02,5961,,BINGHAM STREET,46,B,F,N,111,HANDGUN
M03220,8/16/2003,2003,35,6437,,NORWOOD STREET,15,B,M,N,111,HANDGUN
M03221,8/17/2003,2003,12,5653,,FLORENCE AVENUE,35,B,M,N,111,HANDGUN
M03225,8/20/2003,2003,25,237,E,ROCKLAND STREET,42,B,M,N,111,HANDGUN
M03226,8/22/2003,2003,22,1951,N,32ND STREET,24,B,M,N,111,HANDGUN
M03228,8/23/2003,2003,19,5400,,ARLINGTON STREE,29,B,F,N,111,HANDGUN
M03229,8/23/2003,2003,19,5600,,MARKET STREET,41,B,M,N,111,HANDGUN
M03231,8/24/2003,2003,39,3300,W,WESTMORELAND ST,48,B,M,N,111,HANDGUN
M03232,8/29/2003,2003,16,4918,,FAIRMOUNT,30,B,M,N,111,HANDGUN
M03233,8/30/2003,2003,16,141,N,FARSON STREET,24,B,M,N,111,HANDGUN
M03235,8/30/2003,2003,12,5432,,BELMAR TERRACE,18,B,M,N,111,HANDGUN
M03236,9/2/2003,2003,15,1600,N,FOULKROD STREET,25,B,M,N,111,HANDGUN
M03238,9/6/2003,2003,12,1736,S,RUBY STREET,35,B,M,N,111,HANDGUN
M03239,9/7/2003,2003,12,5800,,BALTIMORE AVENU,22,B,M,N,111,HANDGUN
M03241,9/9/2003,2003,22,2150,N,MARSTON STREET,20,W,M,N,111,HANDGUN
M03242,9/9/2003,2003,25,2819,N,9TH STREET,23,B,F,N,111,HANDGUN
M03243,9/11/2003,2003,06,500,N,6TH STREET,20,B,M,N,111,HANDGUN
M03244,9/11/2003,2003,12,7329,,ELMWOOD AVENUE,24,B,M,N,111,HANDGUN
M03245,9/13/2003,2003,39,2748,N,29TH STREET,26,B,M,N,111,HANDGUN
M03247,9/14/2003,2003,17,1700,S,18TH STREET,58,B,M,N,111,HANDGUN
M03248,9/14/2003,2003,14,303,,ELWOOD STREET,29,B,F,N,111,HANDGUN
M03249,9/14/2003,2003,04,600,,MERCY STREET,19,B,M,N,111,HANDGUN
M03250,9/15/2003,2003,17,1700,,FITZWATER STRET,8,B,M,N,111,HANDGUN
M03251,9/16/2003,2003,19,5840,,MASTER STREET,30,B,M,N,111,HANDGUN
M03253,9/20/2003,2003,02,6518,,SOUDER STREET,29,B,M,N,111,HANDGUN
M03255,9/23/2003,2003,02,5456,,BINGHAM STREET,52,B,M,N,111,HANDGUN
M03256,9/23/2003,2003,02,5446,,BINGHAM STREET,15,B,F,N,111,HANDGUN
M03257,9/23/2003,2003,02,5456,,BINGHAM STREET,51,B,F,N,111,HANDGUN
M03258,9/26/2003,2003,19,5500,W,GIARAD AVENUE,27,B,M,N,111,HANDGUN
M03259,9/26/2003,2003,23,2500,,MASTER STREET,20,B,M,N,111,HANDGUN
M03261,10/1/2003,2003,12,1551,S,58TH STREET,26,B,M,N,111,HANDGUN
M03263,10/1/2003,2003,35,5018,N,7TH STREET,20,B,M,N,111,HANDGUN
M03264,10/3/2003,2003,15,5222,,HAWTHORNE ST,19,B,M,N,111,HANDGUN
M03265,10/4/2003,2003,12,1251,S,GREYLOCK ST,46,B,M,N,111,HANDGUN
M03266,10/4/2003,2003,26,2615,N,8TH STREET,14,B,M,N,111,HANDGUN
M03267,10/7/2003,2003,39,4900,,KEYSER STREET,32,B,M,N,111,HANDGUN
M03268,10/8/2003,2003,35,5014,N,SMEDLEY STREET,25,B,M,N,111,HANDGUN
M03269,10/11/2003,2003,22,2504,N,32ND STREET,17,B,M,N,111,HANDGUN
M03271,10/11/2003,2003,35,594,,GENEVA AVE,29,W,M,Y,111,HANDGUN
M03272,10/11/2003,2003,35,594,,GENEVA AVE,27,W,F,Y,111,HANDGUN
M03273,10/12/2003,2003,19,5435,,RACE STREET,27,B,M,N,111,HANDGUN
M03274,10/15/2003,2003,22,2400,N,CHADWICK STREET,30,B,M,N,111,HANDGUN
M03275,10/16/2003,2003,16,4211,,ASPEN STREET,43,B,F,N,111,HANDGUN
M03276,10/16/2003,2003,16,4211,,ASPEN STREET,14,B,F,N,111,HANDGUN
M03277,10/16/2003,2003,16,4211,,ASPEN STREET,25,B,M,N,111,HANDGUN
M03278,10/17/2003,2003,25,4539,N,7TH STREET,24,B,M,N,111,HANDGUN
M03279,10/18/2003,2003,12,7043,,REEDLAND STREET,24,B,M,N,111,HANDGUN
m03281,10/22/2003,2003,01,2740,,SNYDER AVE,22,B,M,N,111,HANDGUN
M03294,11/1/2003,2003,16,4325,,WESTMINSTER AVE,35,B,M,N,111,HANDGUN
M03295,11/2/2003,2003,15,1700,,MEADOW STREET,31,B,M,N,111,HANDGUN
M03296,11/3/2003,2003,19,61,N,57TH STREET,22,B,M,N,111,HANDGUN
M03297,11/3/2003,2003,18,100,S,PEACH STREET,22,B,M,N,111,HANDGUN
M03314,11/20/2003,2003,25,3366,N,2ND STREET,19,W,M,Y,111,HANDGUN
M03315,11/21/2003,2003,25,3400,N,8TH STREET,21,B,M,N,111,HANDGUN
M03317,11/22/2003,2003,04,1226,,DURFOR STREET,35,W,M,N,111,HANDGUN
M03318,11/23/2003,2003,39,2710,N,22ND STREET,37,B,M,N,111,HANDGUN
M03319,11/25/2003,2003,01,1900,S,24TH STREET,39,B,M,N,111,HANDGUN
M03320,11/25/2003,2003,04,334,,WINTON STREET,19,B,F,N,111,HANDGUN
M03321,11/27/2003,2003,23,2800,,C.B.MOORE STREE,26,B,M,N,111,HANDGUN
M03322,11/28/2003,2003,39,2810,N,19TH STREET,44,B,M,N,111,HANDGUN
M03323,11/29/2003,2003,25,4800,,BINGHAM STREET,21,B,M,N,111,HANDGUN
M03324,11/30/2003,2003,35,212,E,ALBANUS STREET,22,B,M,N,111,HANDGUN
M03326,12/5/2003,2003,16,4500,,HOOPES STREET,23,B,M,N,111,HANDGUN
M03327,12/6/2003,2003,22,1600,,DAUPHIN STREET,43,B,M,N,111,HANDGUN
M03328,12/8/2003,2003,19,5432,,MASTER STREET,23,B,M,N,111,HANDGUN
M03329,12/8/2003,2003,22,2055,N,24TH STREET,33,B,M,N,111,HANDGUN
M03330,12/8/2003,2003,01,1800,S,17TH STREET,19,A,M,N,111,HANDGUN
M03332,12/10/2003,2003,22,2600,N,34TH STREET,19,B,M,N,111,HANDGUN
M03333,12/10/2003,2003,23,1352,W,GIRARD AVENUE,32,B,M,N,111,HANDGUN
M03334,12/13/2003,2003,18,5608,,WALNUT STREET,20,B,M,N,111,HANDGUN
M03335,12/14/2003,2003,39,1517,W,LEHIGH AVENUE,18,B,M,N,111,HANDGUN
M03336,12/14/2003,2003,23,1500,,CECIL B. MOORE,25,B,M,N,111,HANDGUN
M03337,12/18/2003,2003,15,1600,,FOULKROD STREET,21,B,M,N,111,HANDGUN
M03339,12/20/2003,2003,01,2240,,MCKEAN STREET,25,B,M,N,111,HANDGUN
M03340,12/22/2003,2003,12,2118,S,CECIL STREET,23,B,M,N,111,HANDGUN
M03341,12/23/2003,2003,22,2231,N,27TH STREET,66,B,M,N,111,HANDGUN
M03342,12/24/2003,2003,25,3618,N,MARSHALL STREET,21,B,M,N,111,HANDGUN
M03343,12/24/2003,2003,15,4620,,OAKMONT STREET,35,B,M,N,111,HANDGUN
M03344,12/24/2003,2003,26,2059,N,FRANKLIN STREET,20,B,M,N,111,HANDGUN
M03345,12/25/2003,2003,25,1300,W,ERIE AVENUE,33,B,M,N,111,HANDGUN
M03346,12/25/2003,2003,12,1540,S,55TH STREET,38,B,M,N,111,HANDGUN
M03347,12/26/2003,2003,18,5608,,WALNUT STREET,51,B,M,N,111,HANDGUN
M03348,12/29/2003,2003,25,1007,W,LEHIGH AVENUE,34,B,F,Y,111,HANDGUN
M03349,12/30/2003,2003,22,1619,W,EDGLEY STREET,19,B,M,N,111,HANDGUN
M03163,7/4/2003,2003,35,5033,N,3RD STREET,26,B,M,N,111,HANGUN
M03012,1/16/2003,2003,39,5300,,PRICILLA STREET,20,B,M,N,111,HNADGUN
M03200,8/2/2003,2003,02,6527,,RISING SNU AVEN,32,A,M,N,111,HNADGUN
M03106,5/7/2003,2003,35,6608,N,12TH STREET,27,B,M,N,111,SHOTGUNN
M04237,9/20/2004,2004,12,5800,,FERNWOOD AVENUE,50,B,F,N,116,BELT
M04048,2/29/2004,2004,35,5402,,B STREET,10,A,F,N,116,FIRE
M04191,8/4/2004,2004,25,3504,,G STREET,68,W,F,N,116,FIRE
M04206,8/23/2004,2004,24,3630,,BELGRADE STREET,54,W,M,N,116,FIRE
M04207,8/23/2004,2004,24,3630,,BELGRADE STREET,42,W,M,Y,116,FIRE
M04254,10/9/2004,2004,25,3256,N,6TH STREET,54,B,F,N,116,FIRE
M04255,10/9/2004,2004,25,3256,N,6TH STREET,10,B,M,N,116,FIRE
M04256,10/9/2004,2004,25,3256,N,6TH STREET,1,B,M,N,116,FIRE
M04257,10/9/2004,2004,25,3256,N,6TH STREET,12,B,M,N,116,FIRE
M04258,10/9/2004,2004,25,3256,N,6TH STREET,34,B,F,N,116,FIRE
M04259,10/9/2004,2004,25,3256,N,6TH STREET,15,B,M,N,116,FIRE
M04322,12/23/2004,2004,23,1715,,CAMBRIDGE ST.,43,B,F,N,116,FIRE
M04040,2/11/2004,2004,15,2960,,ORTHODOX STREET,24,W,F,N,116,HANDS
M04045,2/21/2004,2004,25,2801,N,6TH STREET,43,W,F,Y,116,HANDS
M04051,3/2/2004,2004,05,486,,SHURS LANE,0,B,M,N,116,HANDS
M04052,3/2/2004,2004,05,486,,SHURS LANE,0,B,M,N,116,HANDS
M04311,12/12/2004,2004,26,2350,E,TUCKER ST,4,W,F,N,116,HANDS
M04089,4/14/2004,2004,22,1000,W,DIAMOND STREET,55,W,M,N,116,LIGATURE
M04211,8/24/2004,2004,26,2400,,MARTHA STREET,15,W,F,N,116,ROCK
M04008,1/9/2004,2004,12,004,,HOG ISLAND ROAD,39,A,M,N,116,UNKNOWN
M04027,1/29/2004,2004,08,4200,,HOLMESBURG AVE.,28,W,F,N,116,UNKNOWN
M04075,3/24/2004,2004,24,631,E,CLEMENTINE ST,5,B,F,N,116,UNKNOWN
M04028,1/29/2004,2004,01,2600,,PASSYUNK AVENUE,61,W,M,N,116,VEHICLE
M04281,11/8/2004,2004,03,929,,SOUTH STREET,25,W,F,N,115,BASEBL BAT
M04172,7/19/2004,2004,39,2104,W,HUNTING PARK AV,77,B,M,N,115,BED FRAME
M04252,10/7/2004,2004,15,1809,,BRIDGE STREET,60,W,M,N,115,ELCT CORD
M04104,5/5/2004,2004,15,3539,,ENGLEWOOD STREE,59,W,M,N,115,FIST
M04192,8/4/2004,2004,15,5304,,GLENLOCH STREET,55,W,M,N,115,FURNITURE
M04127,5/26/2004,2004,26,2530,,EDGEMONT STREET,33,W,M,N,115,HANDS
M04072,3/21/2004,2004,17,2015,,PEMBERTON ST,60,B,F,N,115,HANDS
M04187,8/2/2004,2004,19,1542,N,PEACH STREET,3,B,F,N,115,HANDS
M04273,10/26/2004,2004,08,8801,,COTTAGE STREET,45,W,M,N,115,PIPE
M04035,2/4/2004,2004,12,1440,S,PAXON STREET,30,B,M,N,115,TIRE IRON
M04014,1/15/2004,2004,01,2300,S,23RD STREET,27,W,M,N,115,UNK
M04213,8/25/2004,2004,26,429,W,BERKS STREET,3,W,M,Y,115,UNKNONN
M04010,1/10/2004,2004,12,5630,,ANGORA TERRACE,74,B,M,N,115,UNKNOWN
M04088,4/10/2004,2004,92,5100,N,GEORGES HILL DR,29,W,M,N,115,UNKNOWN
M04188,8/2/2004,2004,25,3251,,D STREET,7,B,F,N,115,UNKNOWN
M04189,8/2/2004,2004,35,130,E,FISHER STREET,26,W,F,N,115,UNKNOWN
M04218,8/31/2004,2004,26,2200,N,HOWARD STREET,50,W,M,N,115,UNKNOWN
M04248,10/2/2004,2004,35,6008,N,16TH STREET,41,B,F,N,115,UNKNOWN
M04250,10/3/2004,2004,16,3119,,SPRING GARDEN S,37,B,M,N,115,UNKNOWN
M04267,10/19/2004,2004,19,5211,W,GIRARD AVENUE,58,B,M,N,115,UNKNOWN
M04269,10/20/2004,2004,12,6301,,GRAYS AVENUE,57,W,M,N,115,UNKNOWN
M04276,11/3/2004,2004,16,3119,,SPRING GARDEN S,42,B,M,N,115,UNKNOWN
M04325,12/25/2004,2004,14,2100,E,WALNUT LANE,37,B,M,N,115,UNKNOWN
M04034,2/4/2004,2004,35,1435,W,WYOMING AVENUE,46,B,F,N,115,VASE
M04327,12/30/2004,2004,22,3219,W,SUSQUEHANNA AVE,35,B,F,N,114,CUTTING
M04179,7/24/2004,2004,15,1640,,BRIDGE STREET,42,W,M,N,114,KNIFE
M04132,6/1/2004,2004,35,4801,,STENTON AVENUE,16,B,F,N,114,KNIFE
M04198,8/13/2004,2004,25,3422,N,2ND STREET,49,W,M,Y,114,KNIFE
M04201,8/14/2004,2004,25,501,W,LEHIGH AVENUE,56,B,M,N,114,KNIFE
M04021,1/23/2004,2004,08,8101,,STATE RAOD,37,B,M,N,114,KNIFE
M04091,4/15/2004,2004,25,3232,N,FAIRHILL STREET,25,W,M,Y,114,KNIFE
M04143,6/13/2004,2004,26,2700,E,CUMBERLAND STRE,51,W,M,N,114,KNIFE
M04168,7/17/2004,2004,26,2659,N,REESE STREET,23,W,M,Y,114,KNIFE
M04232,9/15/2004,2004,22,2515,W,DAUPHIN STREET,74,B,M,N,114,KNIFE
M04244,9/30/2004,2004,19,5200,,FILBERT STREET,23,B,M,N,114,KNIFE
M04260,10/10/2004,2004,16,4246,,THOMPSON STREET,41,B,M,N,114,KNIFE
M04265,10/17/2004,2004,39,1945,W,HUNTING PARK AV,20,B,F,N,114,KNIFE
M04280,11/8/2004,2004,39,251,W,SEYMOUR STREET,21,B,F,N,114,KNIFE
M04284,11/13/2004,2004,25,3453,,KEIM STREET,84,W,F,N,114,KNIFE
M04285,11/14/2004,2004,14,1000,E,MT AIRY AVE,22,B,M,N,114,KNIFE
M04306,12/11/2004,2004,35,5355,N,16TH,60,B,M,N,114,KNIFE
M04115,5/15/2004,2004,22,1829,N,NEWKIRK STREET,80,B,M,N,114,SAW
M04131,5/31/2004,2004,25,2925,N,HOWARD STREET,29,W,M,Y,114,UNKNOWN
M04326,12/25/2004,2004,24,3612,,L STREET,53,W,M,N,114,UNKNOWN
M04152,6/24/2004,2004,35,4636,N,SYDENHAM STREET,33,B,M,N,113,SHOTGUN
M04126,5/24/2004,2004,22,3203,W,ARIZONA STREET,54,B,M,N,112,RIFLE
M04067,3/15/2004,2004,35,5931,N,CAMAC STREET,25,B,M,N,111,FIREARM
M04169,7/18/2004,2004,22,2739,W,ALBERT STREET,50,B,F,N,111,HANDGUN
M04170,7/19/2004,2004,14,152,E,SHARPNACK STREE,19,W,M,N,111,HANDGUN
M04171,7/19/2004,2004,18,5121,,LOCUST STREET,43,B,M,N,111,HANDGUN
M04173,7/20/2004,2004,39,100,W,WYNEVA STREET,31,B,M,N,111,HANDGUN
M04174,7/21/2004,2004,35,1756,,BELFIELD AVENUE,44,B,M,N,111,HANDGUN
M04175,7/22/2004,2004,14,7805,,BALDWIN STREET,38,B,M,N,111,HANDGUN
M04176,7/22/2004,2004,14,7805,,BALDWIN STREET,35,B,M,N,111,HANDGUN
M04177,7/24/2004,2004,16,3933,,FAIRMOUNT,23,B,M,N,111,HANDGUN
M04178,7/23/2004,2004,19,2272,N,51ST STREET,14,B,M,N,111,HANDGUN
M04128,5/26/2004,2004,07,8529,,RISING SUN AVEN,36,B,F,N,111,HANDGUN
M04129,5/28/2004,2004,15,3200,,HEDLEY STREET,17,B,M,N,111,HANDGUN
M04130,5/30/2004,2004,12,2539,,BONAFFON STREET,18,B,M,N,111,HANDGUN
M04133,6/2/2004,2004,23,2800,W,JEFFERSON STREE,21,B,M,N,111,HANDGUN
M04134,6/2/2004,2004,23,2800,W,JEFFERSON STREE,19,B,M,N,111,HANDGUN
M04135,6/4/2004,2004,12,5705,,CHESTER AVENUE,36,B,M,N,111,HANDGUN
M04136,6/4/2004,2004,35,702,W,ROCKLAND STREET,32,B,M,N,111,HANDGUN
M04137,6/4/2004,2004,23,2800,N,JEFFERSON STREE,19,B,M,N,111,HANDGUN
M04193,8/6/2004,2004,19,5000,,THOMPSON STREET,33,B,M,N,111,HANDGUN
M04194,8/6/2004,2004,19,5000,,THOMPSON STREET,24,B,M,N,111,HANDGUN
M04195,8/6/2004,2004,26,400,W,NORRIS STREET,28,B,M,N,111,HANDGUN
M04196,8/6/2004,2004,15,6147,,EDMUND STREET,17,B,M,N,111,HANDGUN
M04197,8/13/2004,2004,25,600,W,BUTLER STREET,19,W,M,Y,111,HANDGUN
M04199,8/13/2004,2004,25,803,W,BRISTOL STREET,26,B,F,N,111,HANDGUN
M04200,8/14/2004,2004,39,2722,N,BONSALL STREET,24,B,M,N,111,HANDGUN
M04202,8/16/2004,2004,19,5552,W,POPLAR STREET,16,B,M,N,111,HANDGUN
M04203,8/18/2004,2004,19,5243,,MARKET STREET,22,B,M,N,111,HANDGUN
M04001,1/1/2004,2004,16,3958,,GIRARD AVENUE,28,B,M,N,111,HANDGUN
M04002,1/1/2004,2004,24,805,E,ALLEGHENY AVENU,21,W,M,Y,111,HANDGUN
M04003,1/2/2004,2004,16,871,N,43RD STREET,43,B,M,N,111,HANDGUN
M04004,1/2/2004,2004,19,672,N,52ND STREET,21,B,M,N,111,HANDGUN
M04005,1/6/2004,2004,22,1851,N,24TH STREET,28,B,M,N,111,HANDGUN
M04006,1/6/2004,2004,22,3200,W,CUMBERLAND ST.,45,B,M,N,111,HANDGUN
M04007,1/7/2004,2004,12,7358,,CHELWYNDE AVENU,15,B,M,N,111,HANDGUN
M04009,1/9/2004,2004,23,1727,W,MASTER STREET,31,B,M,N,111,HANDGUN
M04011,1/12/2004,2004,35,134,W,RUSCOMB STREET,29,B,M,N,111,HANDGUN
M04012,1/13/2004,2004,17,1300,,POINT BREEZE AV,16,B,M,N,111,HANDGUN
M04013,1/13/2004,2004,39,445,W,CLAPIER STREET,35,B,M,N,111,HANDGUN
M04015,1/15/2004,2004,18,5849,,CARPENTER ST.,27,B,M,N,111,HANDGUN
M04016,1/17/2004,2004,17,1846,,WILDER STREET,34,B,M,N,111,HANDGUN
M04017,1/17/2004,2004,39,3634,N,"19TH ST.,1ST FL",33,B,M,N,111,HANDGUN
M04018,1/18/2004,2004,15,4701,,LEIPER STREET,46,W,M,N,111,HANDGUN
M04019,1/20/2004,2004,39,2742,N,15TH STREET,48,B,F,N,111,HANDGUN
M04020,1/20/2004,2004,25,200,W,RISING SUN AVE.,33,B,M,N,111,HANDGUN
M04022,1/24/2004,2004,39,2748,N,29TH STREET,21,B,M,N,111,HANDGUN
M04023,1/24/2004,2004,16,672,N,34TH STREET,17,B,M,N,111,HANDGUN
M04024,1/25/2004,2004,25,4606,N,HURLEY STREET,15,W,M,Y,111,HANDGUN
M04025,1/26/2004,2004,25,3249,N,KEIM STREET,28,B,M,N,111,HANDGUN
M04026,1/28/2004,2004,18,6118,,MARKET STREET,31,B,M,N,111,HANDGUN
M04029,1/29/2004,2004,39,4715,,PULASKI AVEUNE,30,B,M,N,111,HANDGUN
M04030,1/31/2004,2004,22,2466,N,BOUVIER STREET,19,B,M,N,111,HANDGUN
M04031,2/1/2004,2004,25,4200,N,FRONT STREET,34,B,M,N,111,HANDGUN
M04032,2/3/2004,2004,18,5045,,WALTON AVENUE,24,B,M,N,111,HANDGUN
M04033,2/3/2004,2004,22,2349,N,22ND STREET,25,B,M,N,111,HANDGUN
M04036,2/6/2004,2004,19,5200,,COLUMBIA AVENUE,26,B,M,N,111,HANDGUN
M04037,2/6/2004,2004,02,5740,,HASBROOK AVENUE,33,A,M,N,111,HANDGUN
M04038,2/7/2004,2004,25,3120,N,7TH STREET,25,B,M,N,111,HANDGUN
M04039,2/10/2004,2004,12,7050,,REEDLAND STREET,20,B,M,N,111,HANDGUN
M04041,2/13/2004,2004,39,1600,,STAUB STREET,18,B,M,N,111,HANDGUN
M04042,2/14/2004,2004,17,2549,,MONTROSE STREET,27,B,M,N,111,HANDGUN
M04043,2/16/2004,2004,39,2800,N,23RD STREET,10,B,M,N,111,HANDGUN
M04044,2/18/2004,2004,35,6608,N,12TH STREET,38,B,M,N,111,HANDGUN
M04046,2/25/2004,2004,12,6800,,ELMWOOD AVE.,30,B,M,N,111,HANDGUN
M04047,2/28/2004,2004,24,3541,,ARAMINGO AVENUE,26,W,M,Y,111,HANDGUN
M04049,2/29/2004,2004,14,1845,,72ND AVENUE,40,B,M,N,111,HANDGUN
M04050,3/1/2004,2004,23,2500,,SHARSWOOD STREE,23,B,M,N,111,HANDGUN
M04053,3/2/2004,2004,26,2101,N,FRANKLIN STREET,25,B,M,N,111,HANDGUN
M04054,3/2/2004,2004,25,3758,N,8TH STREET,32,B,M,N,111,HANDGUN
M04055,3/3/2004,2004,39,2113,W,PACIFIC STREET,33,B,M,N,111,HANDGUN
M04056,3/3/2004,2004,18,200,S,ALLISON STREET,30,B,M,N,111,HANDGUN
M04057,3/4/2004,2004,24,2034,,AUBURN STREET,18,B,M,N,111,HANDGUN
M04058,3/5/2004,2004,12,2500,,HLBROOK STREET,24,B,M,N,111,HANDGUN
M04059,3/6/2004,2004,17,2115,,MOUNTAIN STREET,39,B,M,N,111,HANDGUN
M04060,3/6/2004,2004,17,2115,,MOUNTAIN STREET,42,B,M,N,111,HANDGUN
M04061,3/6/2004,2004,02,6057,,SHISLER STREET,75,W,F,N,111,HANDGUN
M04062,3/6/2004,2004,02,6057,,SHISLER STREET,71,W,M,N,111,HANDGUN
M04063,3/7/2004,2004,16,3834,,MT. VERNON ST.,18,B,M,N,111,HANDGUN
M04064,3/9/2004,2004,16,135,N,50TH STREET,40,B,F,N,111,HANDGUN
M04065,3/13/2004,2004,14,503,E,WASHINGTON LANE,43,W,M,Y,111,HANDGUN
M04066,3/14/2004,2004,39,2734,N,RINGGOLD STREET,33,B,M,N,111,HANDGUN
M04068,3/16/2004,2004,18,6025,,WALTON AVENUE,45,B,M,N,111,HANDGUN
M04069,3/19/2004,2004,35,4901,,STENTON AVENUE,53,W,M,N,111,HANDGUN
M04070,3/22/2004,2004,24,2000,E,WESTMORELAND ST,20,B,M,N,111,HANDGUN
M04071,3/22/2004,2004,23,2355,,TURNER STREET,19,B,F,N,111,HANDGUN
M04073,3/24/2004,2004,35,5600,N,16TH STREET,16,B,M,N,111,HANDGUN
M04076,3/27/2004,2004,14,417,E,PENN STREET,26,B,M,N,111,HANDGUN
M04077,3/27/2004,2004,14,417,E,PENN STREET,26,B,M,N,111,HANDGUN
M04078,3/27/2004,2004,35,190,W,GODFREY AVENUE,39,B,M,N,111,HANDGUN
M04079,3/28/2004,2004,23,1600,W,JEFFERSON STREE,21,B,M,N,111,HANDGUN
M04080,3/28/2004,2004,15,4721,,OXFORD AVENUE,19,B,M,N,111,HANDGUN
M04081,3/29/2004,2004,14,7407,,ANDREWS AVENUE,26,B,M,N,111,HANDGUN
M04082,3/30/2004,2004,35,1950,W,ROCKLAND STREET,42,B,M,N,111,HANDGUN
M04083,4/1/2004,2004,19,5377,,HAZELHURST ST,29,B,M,N,111,HANDGUN
M04084,4/5/2004,2004,19,1500,N,53RD STREET,39,B,M,N,111,HANDGUN
M04085,4/6/2004,2004,16,600,N,33RD STREET,21,B,M,N,111,HANDGUN
M04086,4/7/2004,2004,19,1417,N,WANAMAKER ST,17,B,M,N,111,HANDGUN
M04087,4/8/2004,2004,16,827,N,41ST STREET,32,B,M,N,111,HANDGUN
M04090,4/14/2004,2004,09,400,S,17TH STREET,22,B,M,N,111,HANDGUN
M04092,4/17/2004,2004,14,7446,,GILBERT STREET,24,B,M,N,111,HANDGUN
M04093,4/18/2004,2004,17,1725,,TASKER STREET,25,B,M,N,111,HANDGUN
M04094,4/18/2004,2004,25,3842,N,13TH STREET,26,B,M,N,111,HANDGUN
M04095,4/21/2004,2004,16,801,N,MARKOE STREET,52,B,M,N,111,HANDGUN
M04096,4/24/2004,2004,02,5700,,RISING SUN AVEN,29,B,M,N,111,HANDGUN
M04097,4/25/2004,2004,35,4800,N,BROAD STREET,24,B,M,N,111,HANDGUN
M04098,4/25/2004,2004,26,2000,N,6TH STREET,21,B,M,N,111,HANDGUN
M04099,4/27/2004,2004,18,6000,,PINE STREET,28,B,M,N,111,HANDGUN
M04100,4/30/2004,2004,12,2106,S,64TH STREET,29,B,M,N,111,HANDGUN
M04101,5/1/2004,2004,16,700,N,UNION STREET,24,B,M,N,111,HANDGUN
M04102,5/2/2004,2004,22,2526,W,LEHIGH AVENUE,37,B,M,N,111,HANDGUN
M04103,5/4/2004,2004,14,629,E,WADSWORTH ST,35,B,M,N,111,HANDGUN
M04105,5/5/2004,2004,17,2700,,INGRAM STREET,38,B,M,N,111,HANDGUN
M04106,5/7/2004,2004,04,941,,CANTRELL STREET,19,B,M,Y,111,HANDGUN
M04107,5/7/2004,2004,26,900,N,DARIEN STREET,25,B,F,N,111,HANDGUN
M04108,5/9/2004,2004,35,300,W,DELPHINE STREET,29,B,M,N,111,HANDGUN
M04109,5/10/2004,2004,18,4400,,SAMSOM STREET,41,B,M,N,111,HANDGUN
M04110,5/11/2004,2004,18,5922,,MARKET STTREET,23,B,M,N,111,HANDGUN
M04111,5/11/2004,2004,14,1916,,DALLAS STREET,55,B,M,N,111,HANDGUN
M04112,5/14/2004,2004,14,7133,,CHEW AVENUE,30,B,M,N,111,HANDGUN
M04113,5/14/2004,2004,19,5231,,RACE STREET,41,B,M,N,111,HANDGUN
M04114,5/15/2004,2004,25,4500,N,5TH STREET,28,B,M,Y,111,HANDGUN
M04116,5/17/2004,2004,23,2714,,CABOT STREET,32,B,M,N,111,HANDGUN
M04117,5/18/2004,2004,12,2006,S,68TH STREET,35,B,M,N,111,HANDGUN
M04118,5/19/2004,2004,14,6970,,CEDAR PARK AVE.,27,B,F,N,111,HANDGUN
M04119,5/19/2004,2004,14,324,E,PRICE STREET,21,B,M,N,111,HANDGUN
M04120,5/21/2004,2004,26,1447,N,AMERICAN STREET,62,W,M,N,111,HANDGUN
M04121,5/21/2004,2004,14,6336,,GERMANTOWN AVE,26,B,M,N,111,HANDGUN
M04122,5/22/2004,2004,35,700,W,LOUDEN STREET,21,B,M,N,111,HANDGUN
M04123,5/22/2004,2004,04,816,,SNYDER AVENUE,37,B,M,N,111,HANDGUN
M04124,5/23/2004,2004,39,4300,,CLARISSA STREET,24,B,M,N,111,HANDGUN
M04125,5/24/2004,2004,35,5700,,OGONTZ AVENUE,22,B,M,N,111,HANDGUN
M04138,6/5/2004,2004,22,2019,N,19TH STREET,25,B,M,N,111,HANDGUN
M04139,6/7/2004,2004,35,4537,N,MOLE STREET,34,B,M,N,111,HANDGUN
M04140,6/10/2004,2004,14,7900,,TEMPLE ROAD,24,B,M,N,111,HANDGUN
M04141,6/11/2004,2004,39,1839,W,VENANGO STREET,46,B,M,N,111,HANDGUN
